22|Grover Cleveland|March 4, 1893|March 4, 1897|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg/800px-Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg| This president was directly proceeded by the 23rd president
23|Benjamin Harrison|March 4, 1889|March 4, 1893|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg/800px-Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg|This president was directly proceeded by the 24th president
24|Grover Cleveland|March 4, 1893|March 4, 1897|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg/800px-Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg| This president was directly proceeded by the 25th president
25|William McKinley|March 4, 1897|September 14, 1901|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Mckinley.jpg/800px-Mckinley.jpg|This president was directly proceeded by the 26th president
26|Theodore Roosevelt|September 14, 1901|March 4, 1909|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/President_Roosevelt_-_Pach_Bros.tif/lossy-page1-800px-President_Roosevelt_-_Pach_Bros.tif.jpg|This president was directly proceeded by the 27th president
27|William Howard Taft|March 4, 1909|March 4, 1913|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/William_Howard_Taft%2C_head-and-shoulders_portrait%2C_facing_front.tif/lossy-page1-800px-William_Howard_Taft%2C_head-and-shoulders_portrait%2C_facing_front.tif.jpg|This president was directly proceeded by the 28th president
28|Woodrow Wilson|March 4, 1913|March 4, 1921|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/President_Wilson_1919-bw.tif/lossless-page1-800px-President_Wilson_1919-bw.tif.png|This president was directly proceeded by the 29th president
29|Warren Gamaliel Harding|March 4, 1921|August 2, 1923|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Warren_G_Harding-Harris_%26_Ewing.jpg/800px-Warren_G_Harding-Harris_%26_Ewing.jpg|This president was directly proceeded by the 30th president
30|Calvin Coolidge|August 2, 1923|March 4, 1929|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Calvin_Coolidge%2C_bw_head_and_shoulders_photo_portrait_seated%2C_1919.jpg/800px-Calvin_Coolidge%2C_bw_head_and_shoulders_photo_portrait_seated%2C_1919.jpg|This president was directly proceeded by the 31st president
31|Herbert Clark Hoover|March 4, 1929|March 4, 1933|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/President_Hoover_portrait.tif/lossy-page1-800px-President_Hoover_portrait.tif.jpg|This president was directly proceeded by the 32nd president
32|Franklin Delano Roosevelt|March 4, 1933|April 12, 1945|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/FDR_1944_Color_Portrait.tif/lossy-page1-800px-FDR_1944_Color_Portrait.tif.jpg|This president was directly proceeded by the 33rd president
33|Harry S Truman|April 12, 1945|January 20, 1953|Democrat|https://upload.wikimedia.org/wikipedia/commons/1/1e/Truman_58-766-09.jpg|This president was directly proceeded by the 34th president
34|Dwight David Eisenhower|January 20, 1953|January 20, 1961|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/President_Eisenhower_Portrait_1959.tif/lossy-page1-800px-President_Eisenhower_Portrait_1959.tif.jpg|This president was directly proceeded by the 35th president
35|John Fitzgerald Kennedy|January 20, 1961|November 22, 1963|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/John_F._Kennedy%2C_White_House_color_photo_portrait.jpg/800px-John_F._Kennedy%2C_White_House_color_photo_portrait.jpg|This president was directly proceeded by the 36th president
36|Lyndon Baines Johnson|November 22, 1963|January 20, 1969|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Lyndon_B._Johnson_Oval_Office_Portrait_%28cropped%29.png/800px-Lyndon_B._Johnson_Oval_Office_Portrait_%28cropped%29.png|This president was directly proceeded by the 37th president
37|Richard Milhous Nixon|January 20, 1969|August 9, 1974|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Richard_M._Nixon%2C_ca._1935_-_1982_-_NARA_-_530679.tif/lossy-page1-800px-Richard_M._Nixon%2C_ca._1935_-_1982_-_NARA_-_530679.tif.jpg|This president was directly proceeded by the 38th president
38|Gerald Rudolph Ford|August 9, 1974|January 20, 1977|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Gerald_Ford_-_NARA_-_530680.tif/lossy-page1-800px-Gerald_Ford_-_NARA_-_530680.tif.jpg|This president was directly proceeded by the 39th president
39|James Earl Carter|January 20, 1977|January 20, 1981|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/JimmyCarterPortrait2.jpg/800px-JimmyCarterPortrait2.jpg|This president was directly proceeded by the 40th president
40|Ronald Wilson Reagan|January 20, 1981|January 20, 1989|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Portrait_of_President_Reagan_1981.jpg/800px-Official_Portrait_of_President_Reagan_1981.jpg|This president was directly proceeded by the 41st president
41|George Herbert-Walker Bush|January 20, 1989|January 20, 1993|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/George_H._W._Bush%2C_President_of_the_United_States%2C_1989_official_portrait_cropped.jpg/800px-George_H._W._Bush%2C_President_of_the_United_States%2C_1989_official_portrait_cropped.jpg|This president was directly proceeded by the 42nd president
42|William Jefferson Clinton|January 20, 1993|January 20, 2001|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/800px-Bill_Clinton.jpg|This president was directly proceeded by the 43rd president
43|George Walker Bush|January 20, 2001|January 20, 2009|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/800px-George-W-Bush.jpeg|This president was directly proceeded by the 44th president
44|Barrack Hussein Obama|January 20, 2009|January 20, 2017|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Obama_portrait_crop.jpg/800px-Obama_portrait_crop.jpg|This president was directly proceeded by the 45th president
45|Donald John Trump|January 20, 2017|Present|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Donald_Trump_official_portrait_%28cropped%29.jpg/800px-Donald_Trump_official_portrait_%28cropped%29.jpg|This president directly proceeded the 44th president.
